timestamp,frame_idx,record_id,class,lane,distance,consecutive_frames,state,is_anomaly,event_type,confidence,reasoning,risk_cleared,need_cleanup,elapsed_sec,tokens,crop_image
2026-06-23T21:50:28,40,03ba71db,car,-1,-1.0,32,confirmed,True,事故,0.95,The car's position in lane -1 (likely the shoulder or emergency lane) combined with its stationary presence for 6 frames and illuminated hazard lights suggests a breakdown or minor accident rather than normal travel.,,,4.1,80,results\crop_20260623_215024_03ba71db.jpg
2026-06-23T21:50:30,53,9587e41c,car,-1,-1.0,7,confirmed,True,违停,0.85,"The car in lane -1 at a very close distance (-1m) and continuously present for 6 frames suggests it is stopped or moving extremely slowly, which is abnormal for a travel lane.",,,3.9,80,results\crop_20260623_215026_9587e41c.jpg
2026-06-23T21:50:32,71,5b8d745f,car,-1,-1.0,38,confirmed,True,违停,0.95,"The car in lane -1 has its brake lights on and appears stationary for an extended period (13 frames), which is inconsistent with normal traffic flow where vehicles should be moving or at a stop line/intersection.",,,3.0,84,results\crop_20260623_215029_5b8d745f.jpg
2026-06-23T21:50:39,133,11ea1083,car,-1,-1.0,18,confirmed,True,违停,0.95,"The car's headlights are on and it appears stationary in lane -1 for an extended period (13 frames), which is unusual for a moving traffic flow, suggesting a potential stoppage or obstruction.",,,2.8,81,results\crop_20260623_215036_11ea1083.jpg
2026-06-23T21:50:50,226,d6e3afb2,car,-1,-1.0,43,confirmed,True,违停,0.9,"Vehicle in lane -1 with headlights on for 25 frames suggests stopped or slow-moving vehicle, likely due to obstruction or mechanical issue.",,,2.4,68,results\crop_20260623_215047_d6e3afb2.jpg
2026-06-23T21:51:10,404,3c5f4d42,car,-1,-1.0,58,confirmed,True,事故,0.85,"The car in lane -1 at -1m distance has its brake lights illuminated and appears stationary for an extended period (50 frames), which is unusual for a moving vehicle on a highway. This suggests the car may have broken down or been involved in an incident, leading to a potential traffic hazard.",,,3.7,101,results\crop_20260623_215107_3c5f4d42.jpg
2026-06-23T21:51:12,416,8a1c6b40,car,-1,-1.0,61,confirmed,True,违停,0.95,"The car's headlights are on and bright, indicating it is active, but its position in lane -1 (likely a shoulder or emergency lane) for an extended period (32 frames/0s duration implies continuous presence without movement) suggests it has stopped unexpectedly rather than moving normally. This fits the profile of a vehicle that has broken down or pulled over illegally.",,,3.9,114,results\crop_20260623_215108_8a1c6b40.jpg
2026-06-23T21:54:16,61,6fc46cb0,truck,-1,-1.0,30,confirmed,True,事故,0.85,"The truck in lane -1 appears to be stationary or moving very slowly for an extended period (11 frames), which is unusual for a highway setting unless there's an incident. The presence of what looks like emergency vehicles or personnel near the truck suggests a potential accident or breakdown.",,,5.9,96,results\crop_20260623_215410_6fc46cb0.jpg
2026-06-23T21:54:16,68,19f9f704,truck,-1,-1.0,23,confirmed,True,事故,0.95,"The image shows a large green tanker truck that is stationary and positioned at an angle against the side of the road or shoulder, next to some industrial equipment (tanks). This posture, combined with the context of being present for multiple frames without moving, strongly suggests the vehicle has broken down ('抛锚') or been involved in a minor incident causing it to stop off-center. It is not in a normal driving lane.",,,6.4,129,results\crop_20260623_215410_19f9f704.jpg
2026-06-23T21:54:37,241,aad1b115,truck,-1,-1.0,36,confirmed,True,事故,0.85,"The truck in lane -1 appears to be tilted or leaning significantly to its right side, which is not a normal driving posture. This suggests it may have lost control, hit an obstacle, or suffered mechanical failure causing it to lean, indicating a potential accident or near-accident situation.",,,5.2,98,results\crop_20260623_215431_aad1b115.jpg
2026-06-23T21:54:42,284,e218afd1,truck,-1,-1.0,19,confirmed,True,事故,0.85,"The truck in lane -1 appears to be stationary or moving very slowly for an extended period (7 frames), which is unusual for a vehicle in that position. The presence of what looks like debris or objects near the rear of the truck suggests a possible collision or mechanical failure, indicating an accident rather than normal traffic flow.",,,3.4,104,results\crop_20260623_215438_e218afd1.jpg
2026-06-23T21:57:04,94,78f1fdba,truck,-1,-1.0,46,confirmed,True,事故,0.95,"The truck in lane -1 appears to be tilted or leaning significantly against the guardrail, suggesting a collision with the barrier rather than normal driving posture. This deviation from expected vehicle alignment indicates an accident.",,,3.2,80,results\crop_20260623_215701_78f1fdba.jpg
2026-06-23T21:57:08,120,a4f79bfc,truck,-1,-1.0,46,confirmed,True,违停,0.85,"The truck is located in lane -1 at a very close distance (-1m), which suggests it has stopped or slowed down significantly within the active traffic flow rather than being in a designated parking area.",,,2.8,86,results\crop_20260623_215705_a4f79bfc.jpg
2026-06-23T21:57:20,224,72af4415,truck,-1,-1.0,26,confirmed,True,事故,0.95,"The truck in lane -1 has a significant vertical displacement (approx. 2-3 meters) relative to the road surface and adjacent vehicles, indicating it is airborne or severely tilted due to an impact.",,,2.8,86,results\crop_20260623_215717_72af4415.jpg
2026-06-23T21:57:27,283,ffe1b744,car,-1,-1.0,18,confirmed,True,事故,0.92,"The car in the foreground (light-colored) is positioned at a sharp angle across lane markings and partially into the adjacent lane, indicating it has lost control or collided with another vehicle. Its unusual orientation relative to traffic flow suggests an active incident rather than normal driving behavior.",,,4.2,93,results\crop_20260623_215722_ffe1b744.jpg
2026-06-23T21:57:28,291,10c9ca05,truck,-1,-1.0,20,confirmed,True,事故,0.85,"The truck in lane -1 appears to be stationary or moving very slowly for an extended period (10 frames), which is unusual for a highway setting. The presence of what looks like emergency personnel or equipment near the vehicle further suggests an incident such as a breakdown or minor accident rather than normal traffic flow.",,,4.0,101,results\crop_20260623_215724_10c9ca05.jpg
2026-06-23T21:57:33,337,8fd2d8b5,car,-1,-1.0,16,confirmed,True,违停,0.95,"The car is positioned in the leftmost lane (lane -1) and appears stationary or moving very slowly for an extended period (8 frames), which is atypical for normal highway traffic flow where vehicles should maintain speed. This suggests a potential stoppage or obstruction.",,,3.1,94,results\crop_20260623_215730_8fd2d8b5.jpg
2026-06-23T22:02:06,103,d230d9f7,truck,-1,-1.0,0,idle,False,正常,0.95,"The truck is in lane -1 at a consistent distance of -1m and has been continuously present for 38 frames (0s), indicating steady movement or stable positioning without sudden stops, obstructions, or erratic behavior typical of anomalies like breakdowns, accidents, or debris.",,,4.3,97,results\crop_20260623_220201_d230d9f7.jpg
2026-06-23T22:02:13,167,d230d9f7,truck,-1,-1.0,40,confirmed,True,事故,0.85,"The truck in lane -1 at a very close distance (-1m) and continuously present for 19 frames suggests it has stopped unexpectedly or is involved in an incident, rather than moving normally with traffic flow.",,,4.5,83,results\crop_20260623_220209_d230d9f7.jpg
